country,year,land_type,national_yield,world_yield,yield_factor,qscore_2018
Bolivia,1991,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1991,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1991,Infrastructure,0,0,0.575602,3A
Bolivia,1992,"Crop Land",4.23791,7.89134,0.537033,3A
Bolivia,1992,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1992,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1992,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1992,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1992,Infrastructure,0,0,0.537033,3A
Bolivia,1993,"Crop Land",4.65633,7.60678,0.612129,3A
Bolivia,1993,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1993,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1993,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1993,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1993,Infrastructure,0,0,0.612129,3A
Bolivia,1994,"Crop Land",4.83478,8.26594,0.584904,3A
Bolivia,1994,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1994,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1994,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1994,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1994,Infrastructure,0,0,0.584904,3A
Bolivia,1995,"Crop Land",4.80443,7.72786,0.621702,3A
Bolivia,1995,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1995,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1995,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1995,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1995,Infrastructure,0,0,0.621702,3A
Bolivia,1996,"Crop Land",4.49901,7.65857,0.587448,3A
Bolivia,1996,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1996,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1996,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1996,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1996,Infrastructure,0,0,0.587448,3A
Bolivia,1997,"Crop Land",4.06883,7.06711,0.575741,3A
Bolivia,1997,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1997,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1997,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1997,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1997,Infrastructure,0,0,0.575741,3A
Bolivia,1998,"Crop Land",3.84839,6.56082,0.586572,3A
Bolivia,1998,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1998,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1998,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1998,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1998,Infrastructure,0,0,0.586572,3A
Bolivia,1999,"Crop Land",3.82143,6.83835,0.558824,3A
Bolivia,1999,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,1999,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,1999,"Inland Fishing Grounds",0,0,1,3A
Bolivia,1999,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,1999,Infrastructure,0,0,0.558824,3A
Bolivia,2000,"Crop Land",3.98452,6.7072,0.594067,3A
Bolivia,2000,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2000,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2000,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2000,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2000,Infrastructure,0,0,0.594067,3A
Bolivia,2001,"Crop Land",4.16305,6.94679,0.599277,3A
Bolivia,2001,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2001,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2001,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2001,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2001,Infrastructure,0,0,0.599277,3A
Bolivia,2002,"Crop Land",4.39121,7.24318,0.606255,3A
Bolivia,2002,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2002,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2002,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2002,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2002,Infrastructure,0,0,0.606255,3A
Bolivia,2003,"Crop Land",4.7335,7.73145,0.61224,3A
Bolivia,2003,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2003,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2003,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2003,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2003,Infrastructure,0,0,0.61224,3A
Bolivia,2004,"Crop Land",4.49519,7.76414,0.578969,3A
Bolivia,2004,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2004,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2004,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2004,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2004,Infrastructure,0,0,0.578969,3A
Bolivia,2005,"Crop Land",4.14753,7.27845,0.569836,3A
Bolivia,2005,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2005,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2005,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2005,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2005,Infrastructure,0,0,0.569836,3A
Bolivia,2006,"Crop Land",4.49599,7.84843,0.572852,3A
Bolivia,2006,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2006,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2006,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2006,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2006,Infrastructure,0,0,0.572852,3A
Bolivia,2007,"Crop Land",4.30835,8.09242,0.532393,3A
Bolivia,2007,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2007,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2007,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2007,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2007,Infrastructure,0,0,0.532393,3A
Bolivia,2008,"Crop Land",4.66103,9.41245,0.495198,3A
Bolivia,2008,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2008,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2008,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2008,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2008,Infrastructure,0,0,0.495198,3A
Bolivia,2009,"Crop Land",4.79441,7.76532,0.617413,3A
Bolivia,2009,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2009,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2009,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2009,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2009,Infrastructure,0,0,0.617413,3A
Bolivia,2010,"Crop Land",4.22719,7.77646,0.543587,3A
Bolivia,2010,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2010,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2010,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2010,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2010,Infrastructure,0,0,0.543587,3A
Bolivia,2011,"Crop Land",4.18316,7.98777,0.523696,3A
Bolivia,2011,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2011,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2011,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2011,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2011,Infrastructure,0,0,0.523696,3A
Bolivia,2012,"Crop Land",4.46729,6.75289,0.661537,3A
Bolivia,2012,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2012,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2012,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2012,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2012,Infrastructure,0,0,0.661537,3A
Bolivia,2013,"Crop Land",4.30869,6.65277,0.647654,3A
Bolivia,2013,"Grazing Land",9.46,6.19,1.52827,3A
Bolivia,2013,"Marine Fishing Grounds",0,503.836,0,3A
Bolivia,2013,"Inland Fishing Grounds",0,0,1,3A
Bolivia,2013,"Forest Land",3.66428,1.81878,2.01469,3A
Bolivia,2013,Infrastructure,0,0,0.647654,3A
"Bosnia and Herzegovina",1992,"Crop Land",4.23916,7.79348,0.543937,3A
"Bosnia and Herzegovina",1992,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1992,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1992,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1992,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1992,Infrastructure,0,0,0.543937,3A
"Bosnia and Herzegovina",1993,"Crop Land",4.27024,8.48886,0.50304,3A
"Bosnia and Herzegovina",1993,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1993,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1993,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1993,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1993,Infrastructure,0,0,0.50304,3A
"Bosnia and Herzegovina",1994,"Crop Land",4.21193,9.76103,0.431505,3A
"Bosnia and Herzegovina",1994,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1994,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1994,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1994,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1994,Infrastructure,0,0,0.431505,3A
"Bosnia and Herzegovina",1995,"Crop Land",4.30169,11.393,0.377572,3A
"Bosnia and Herzegovina",1995,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1995,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1995,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1995,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1995,Infrastructure,0,0,0.377572,3A
"Bosnia and Herzegovina",1996,"Crop Land",4.25444,11.4866,0.370384,3A
"Bosnia and Herzegovina",1996,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1996,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1996,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1996,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1996,Infrastructure,0,0,0.370384,3A
"Bosnia and Herzegovina",1997,"Crop Land",4.20801,8.44953,0.498017,3A
"Bosnia and Herzegovina",1997,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1997,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1997,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1997,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1997,Infrastructure,0,0,0.498017,3A
"Bosnia and Herzegovina",1998,"Crop Land",4.29833,8.21089,0.523491,3A
"Bosnia and Herzegovina",1998,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1998,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1998,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1998,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1998,Infrastructure,0,0,0.523491,3A
"Bosnia and Herzegovina",1999,"Crop Land",4.47101,8.89232,0.502795,3A
"Bosnia and Herzegovina",1999,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",1999,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",1999,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",1999,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",1999,Infrastructure,0,0,0.502795,3A
"Bosnia and Herzegovina",2000,"Crop Land",3.40901,8.87867,0.383956,3A
"Bosnia and Herzegovina",2000,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2000,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2000,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2000,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2000,Infrastructure,0,0,0.383956,3A
"Bosnia and Herzegovina",2001,"Crop Land",4.02873,9.66942,0.416646,3A
"Bosnia and Herzegovina",2001,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2001,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2001,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2001,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2001,Infrastructure,0,0,0.416646,3A
"Bosnia and Herzegovina",2002,"Crop Land",4.37645,9.3203,0.469561,3A
"Bosnia and Herzegovina",2002,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2002,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2002,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2002,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2002,Infrastructure,0,0,0.469561,3A
"Bosnia and Herzegovina",2003,"Crop Land",3.46894,10.3715,0.334469,3A
"Bosnia and Herzegovina",2003,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2003,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2003,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2003,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2003,Infrastructure,0,0,0.334469,3A
"Bosnia and Herzegovina",2004,"Crop Land",4.65221,9.42768,0.493463,3A
"Bosnia and Herzegovina",2004,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2004,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2004,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2004,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2004,Infrastructure,0,0,0.493463,3A
"Bosnia and Herzegovina",2005,"Crop Land",4.69951,10.4291,0.450616,3A
"Bosnia and Herzegovina",2005,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2005,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2005,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2005,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2005,Infrastructure,0,0,0.450616,3A
"Bosnia and Herzegovina",2006,"Crop Land",4.63531,10.1967,0.454588,3A
"Bosnia and Herzegovina",2006,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2006,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2006,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2006,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2006,Infrastructure,0,0,0.454588,3A
"Bosnia and Herzegovina",2007,"Crop Land",3.98916,10.4065,0.383334,3A
"Bosnia and Herzegovina",2007,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2007,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2007,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2007,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2007,Infrastructure,0,0,0.383334,3A
"Bosnia and Herzegovina",2008,"Crop Land",4.68221,10.9039,0.429405,3A
"Bosnia and Herzegovina",2008,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2008,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2008,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2008,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2008,Infrastructure,0,0,0.429405,3A
"Bosnia and Herzegovina",2009,"Crop Land",4.76874,10.7469,0.443731,3A
"Bosnia and Herzegovina",2009,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2009,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2009,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2009,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2009,Infrastructure,0,0,0.443731,3A
"Bosnia and Herzegovina",2010,"Crop Land",4.34358,12.2164,0.355552,3A
"Bosnia and Herzegovina",2010,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2010,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2010,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2010,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2010,Infrastructure,0,0,0.355552,3A
"Bosnia and Herzegovina",2011,"Crop Land",4.2733,11.7614,0.363331,3A
"Bosnia and Herzegovina",2011,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2011,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2011,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2011,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2011,Infrastructure,0,0,0.363331,3A
"Bosnia and Herzegovina",2012,"Crop Land",3.79102,11.9445,0.317386,3A
"Bosnia and Herzegovina",2012,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2012,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2012,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2012,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2012,Infrastructure,0,0,0.317386,3A
"Bosnia and Herzegovina",2013,"Crop Land",4.34969,11.4242,0.380744,3A
"Bosnia and Herzegovina",2013,"Grazing Land",12.94,6.19,2.09047,3A
"Bosnia and Herzegovina",2013,"Marine Fishing Grounds",390,503.836,0.774061,3A
"Bosnia and Herzegovina",2013,"Inland Fishing Grounds",0,0,1,3A
"Bosnia and Herzegovina",2013,"Forest Land",2.25721,1.81878,1.24105,3A
"Bosnia and Herzegovina",2013,Infrastructure,0,0,0.380744,3A
Brazil,1961,"Crop Land",4.13521,3.08057,1.34235,3A
Brazil,1961,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1961,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1961,"Inland Fishing Grounds",0,0,1,3A
Brazil,1961,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1961,Infrastructure,0,0,1.34235,3A
Brazil,1962,"Crop Land",4.21795,3.24022,1.30175,3A
Brazil,1962,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1962,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1962,"Inland Fishing Grounds",0,0,1,3A
Brazil,1962,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1962,Infrastructure,0,0,1.30175,3A
Brazil,1963,"Crop Land",4.16551,3.4818,1.19637,3A
Brazil,1963,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1963,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1963,"Inland Fishing Grounds",0,0,1,3A
Brazil,1963,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1963,Infrastructure,0,0,1.19637,3A
Brazil,1964,"Crop Land",4.24376,3.88851,1.09136,3A
Brazil,1964,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1964,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1964,"Inland Fishing Grounds",0,0,1,3A
Brazil,1964,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1964,Infrastructure,0,0,1.09136,3A
Brazil,1965,"Crop Land",4.5492,3.54017,1.28502,3A
Brazil,1965,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1965,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1965,"Inland Fishing Grounds",0,0,1,3A
Brazil,1965,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1965,Infrastructure,0,0,1.28502,3A
Brazil,1966,"Crop Land",4.62499,4.18316,1.10562,3A
Brazil,1966,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1966,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1966,"Inland Fishing Grounds",0,0,1,3A
Brazil,1966,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1966,Infrastructure,0,0,1.10562,3A
Brazil,1967,"Crop Land",4.4657,3.88637,1.14907,3A
Brazil,1967,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1967,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1967,"Inland Fishing Grounds",0,0,1,3A
Brazil,1967,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1967,Infrastructure,0,0,1.14907,3A
Brazil,1968,"Crop Land",4.41738,4.09104,1.07977,3A
Brazil,1968,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1968,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1968,"Inland Fishing Grounds",0,0,1,3A
Brazil,1968,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1968,Infrastructure,0,0,1.07977,3A
Brazil,1969,"Crop Land",4.31673,4.01741,1.07451,3A
Brazil,1969,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1969,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1969,"Inland Fishing Grounds",0,0,1,3A
Brazil,1969,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1969,Infrastructure,0,0,1.07451,3A
Brazil,1970,"Crop Land",4.37172,4.21412,1.0374,3A
Brazil,1970,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1970,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1970,"Inland Fishing Grounds",0,0,1,3A
Brazil,1970,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1970,Infrastructure,0,0,1.0374,3A
Brazil,1971,"Crop Land",4.22856,4.06931,1.03913,3A
Brazil,1971,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1971,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1971,"Inland Fishing Grounds",0,0,1,3A
Brazil,1971,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1971,Infrastructure,0,0,1.03913,3A
Brazil,1972,"Crop Land",4.39703,4.22225,1.04139,3A
Brazil,1972,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1972,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1972,"Inland Fishing Grounds",0,0,1,3A
Brazil,1972,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1972,Infrastructure,0,0,1.04139,3A
Brazil,1973,"Crop Land",4.39438,4.58991,0.957399,3A
Brazil,1973,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1973,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1973,"Inland Fishing Grounds",0,0,1,3A
Brazil,1973,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1973,Infrastructure,0,0,0.957399,3A
Brazil,1974,"Crop Land",4.35044,4.08867,1.06402,3A
Brazil,1974,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1974,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1974,"Inland Fishing Grounds",0,0,1,3A
Brazil,1974,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1974,Infrastructure,0,0,1.06402,3A
Brazil,1975,"Crop Land",4.15194,4.21035,0.986127,3A
Brazil,1975,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1975,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1975,"Inland Fishing Grounds",0,0,1,3A
Brazil,1975,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1975,Infrastructure,0,0,0.986127,3A
Brazil,1976,"Crop Land",4.42082,4.55408,0.970738,3A
Brazil,1976,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1976,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1976,"Inland Fishing Grounds",0,0,1,3A
Brazil,1976,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1976,Infrastructure,0,0,0.970738,3A
Brazil,1977,"Crop Land",4.60611,4.68969,0.982178,3A
Brazil,1977,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1977,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1977,"Inland Fishing Grounds",0,0,1,3A
Brazil,1977,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1977,Infrastructure,0,0,0.982178,3A
Brazil,1978,"Crop Land",4.62595,5.29469,0.873696,3A
Brazil,1978,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1978,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1978,"Inland Fishing Grounds",0,0,1,3A
Brazil,1978,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1978,Infrastructure,0,0,0.873696,3A
Brazil,1979,"Crop Land",4.80211,5.37699,0.893086,3A
Brazil,1979,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1979,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1979,"Inland Fishing Grounds",0,0,1,3A
Brazil,1979,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1979,Infrastructure,0,0,0.893086,3A
Brazil,1980,"Crop Land",5.08402,4.98124,1.02063,3A
Brazil,1980,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1980,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1980,"Inland Fishing Grounds",0,0,1,3A
Brazil,1980,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1980,Infrastructure,0,0,1.02063,3A
Brazil,1981,"Crop Land",5.35811,5.45074,0.983006,3A
Brazil,1981,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1981,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1981,"Inland Fishing Grounds",0,0,1,3A
Brazil,1981,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1981,Infrastructure,0,0,0.983006,3A
Brazil,1982,"Crop Land",5.69765,6.01955,0.946525,3A
Brazil,1982,"Grazing Land",13.52,6.19,2.18417,3A
Brazil,1982,"Marine Fishing Grounds",547.327,503.836,1.08632,3A
Brazil,1982,"Inland Fishing Grounds",0,0,1,3A
Brazil,1982,"Forest Land",3.8236,1.81878,2.10228,3A
Brazil,1982,Infrastructure,0,0,0.946525,3A
Brazil,1983,"Crop Land",6.92174,7.10434,0.974297,3A
